test,Tool,rep_1,tool_2,rep_2,Fractional distance
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.2043956043956044
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.20659340659340658
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18021978021978022
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1978021978021978
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.27912087912087913
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.22417582417582418
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.03076923076923077
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17142857142857143
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.11868131868131868
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16923076923076924
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16043956043956045
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17802197802197803
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12307692307692308
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17142857142857143
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13626373626373625
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.0967032967032967
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12967032967032968
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13186813186813187
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.0945054945054945
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11428571428571428
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.10329670329670329
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15384615384615385
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15164835164835164
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11868131868131868
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.046153846153846156
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14065934065934066
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13406593406593406
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.08131868131868132
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.1010989010989011
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14945054945054945
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.1076923076923077
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.13186813186813187
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.08791208791208792
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15164835164835164
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16043956043956045
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.27472527472527475
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12967032967032968
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17142857142857143
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.2087912087912088
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12967032967032968
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.0989010989010989
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16923076923076924
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1010989010989011
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.13186813186813187
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.12527472527472527
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17582417582417584
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.02857142857142857
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.0945054945054945
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12307692307692308
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.10989010989010989
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14945054945054945
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12087912087912088
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.03736263736263736
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14065934065934066
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.18681318681318682
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11208791208791209
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14505494505494507
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12527472527472527
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.12307692307692308
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15164835164835164
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.10989010989010989
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.11208791208791209
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.11648351648351649
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.2879120879120879
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.017582417582417582
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.22637362637362637
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1978021978021978
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16043956043956045
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1934065934065934
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15164835164835164
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.11428571428571428
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.22197802197802197
